PV_ID,latitude,longitude
1891801,32.49,34.66
1891802,32.45,34.66
1891803,32.41,34.66
1891804,32.37,34.66
1891805,32.33,34.66
1891806,32.29,34.66
1891807,32.25,34.66
1891808,32.21,34.66
1891809,32.17,34.66
1891810,32.13,34.66
1891811,32.09,34.66
1891812,32.05,34.66
1891813,32.01,34.66
1891814,31.97,34.66
1891815,31.93,34.66
1891816,31.89,34.66
1891817,31.85,34.66
1891818,31.81,34.66
1891819,31.77,34.66
1891820,31.73,34.66
1891821,31.69,34.66
1891822,31.65,34.66
1891823,31.61,34.66
1891824,31.57,34.66
1891825,31.53,34.66
1891826,31.49,34.66
1891827,31.45,34.66
1891828,31.41,34.66
1891829,31.37,34.66
1891830,31.33,34.66
1891831,31.29,34.66
1891832,31.25,34.66
1891833,31.21,34.66
1891834,31.17,34.66
1891835,31.13,34.66
1891836,31.09,34.66
1891837,31.05,34.66
1891838,31.01,34.66
1891839,30.97,34.66
1891840,30.93,34.66
1893736,32.69,34.7
1893737,32.65,34.7
1893738,32.61,34.7
1893739,32.57,34.7
1893740,32.53,34.7
1893741,32.49,34.7
1893742,32.45,34.7
1893743,32.41,34.7
1893744,32.37,34.7
1893745,32.33,34.7
1893746,32.29,34.7
1893747,32.25,34.7
1893748,32.21,34.7
1893749,32.17,34.7
1893750,32.13,34.7
1893751,32.09,34.7
1893752,32.05,34.7
1893753,32.01,34.7
1893754,31.97,34.7
1893755,31.93,34.7
1893756,31.89,34.7
1893757,31.85,34.7
1893758,31.81,34.7
1893759,31.77,34.7
1893760,31.73,34.7
1893761,31.69,34.7
1893762,31.65,34.7
1893763,31.61,34.7
1893764,31.57,34.7
1893765,31.53,34.7
1893766,31.49,34.7
1893767,31.45,34.7
1893768,31.41,34.7
1893769,31.37,34.7
1893770,31.33,34.7
1893771,31.29,34.7
1893772,31.25,34.7
1893773,31.21,34.7
1893774,31.17,34.7
1893775,31.13,34.7
1893776,31.09,34.7
1893777,31.05,34.7
1893778,31.01,34.7
1893779,30.97,34.7
1893780,30.93,34.7
1895674,32.77,34.74
1895675,32.73,34.74
1895676,32.69,34.74
1895677,32.65,34.74
1895678,32.61,34.74
1895679,32.57,34.74
1895680,32.53,34.74
1895681,32.49,34.74
1895682,32.45,34.74
1895683,32.41,34.74
1895684,32.37,34.74
1895685,32.33,34.74
1895686,32.29,34.74
1895687,32.25,34.74
1895688,32.21,34.74
1895689,32.17,34.74
1895690,32.13,34.74
1895691,32.09,34.74
1895692,32.05,34.74
1895693,32.01,34.74
1895694,31.97,34.74
1895695,31.93,34.74
1895696,31.89,34.74
1895697,31.85,34.74
1895698,31.81,34.74
1895699,31.77,34.74
1895700,31.73,34.74
1895701,31.69,34.74
1895702,31.65,34.74
1895703,31.61,34.74
1895704,31.57,34.74
1895705,31.53,34.74
1895706,31.49,34.74
1895707,31.45,34.74
1895708,31.41,34.74
1895709,31.37,34.74
1895710,31.33,34.74
1895711,31.29,34.74
1895712,31.25,34.74
1895713,31.21,34.74
1895714,31.17,34.74
1895715,31.13,34.74
1895716,31.09,34.74
1895717,31.05,34.74
1895718,31.01,34.74
1895719,30.97,34.74
1895720,30.93,34.74
1897610,32.85,34.78
1897611,32.81,34.78
1897612,32.77,34.78
1897613,32.73,34.78
1897614,32.69,34.78
1897615,32.65,34.78
1897616,32.61,34.78
1897617,32.57,34.78
1897618,32.53,34.78
1897619,32.49,34.78
1897620,32.45,34.78
1897621,32.41,34.78
1897622,32.37,34.78
1897623,32.33,34.78
1897624,32.29,34.78
1897625,32.25,34.78
1897626,32.21,34.78
1897627,32.17,34.78
1897628,32.13,34.78
1897629,32.09,34.78
1897630,32.05,34.78
1897631,32.01,34.78
1897632,31.97,34.78
1897633,31.93,34.78
1897634,31.89,34.78
1897635,31.85,34.78
1897636,31.81,34.78
1897637,31.77,34.78
1897638,31.73,34.78
1897639,31.69,34.78
1897640,31.65,34.78
1897641,31.61,34.78
1897642,31.57,34.78
1897643,31.53,34.78
1897644,31.49,34.78
1897645,31.45,34.78
1897646,31.41,34.78
1897647,31.37,34.78
1897648,31.33,34.78
1897649,31.29,34.78
1897650,31.25,34.78
1897651,31.21,34.78
1897652,31.17,34.78
1897653,31.13,34.78
1897654,31.09,34.78
1897655,31.05,34.78
1897656,31.01,34.78
1897657,30.97,34.78
1897658,30.93,34.78
1899542,32.93,34.82
1899543,32.89,34.82
1899544,32.85,34.82
1899545,32.81,34.82
1899546,32.77,34.82
1899547,32.73,34.82
1899548,32.69,34.82
1899549,32.65,34.82
1899550,32.61,34.82
1899551,32.57,34.82
1899552,32.53,34.82
1899553,32.49,34.82
1899554,32.45,34.82
1899555,32.41,34.82
1899556,32.37,34.82
1899557,32.33,34.82
1899558,32.29,34.82
1899559,32.25,34.82
1899560,32.21,34.82
1899561,32.17,34.82
1899562,32.13,34.82
1899563,32.09,34.82
1899564,32.05,34.82
1899565,32.01,34.82
1899566,31.97,34.82
1899567,31.93,34.82
1899568,31.89,34.82
1899569,31.85,34.82
1899570,31.81,34.82
1899571,31.77,34.82
1899572,31.73,34.82
1899573,31.69,34.82
1899574,31.65,34.82
1899575,31.61,34.82
1899576,31.57,34.82
1899577,31.53,34.82
1899578,31.49,34.82
1899579,31.45,34.82
1899580,31.41,34.82
1899581,31.37,34.82
1899582,31.33,34.82
1899583,31.29,34.82
1899584,31.25,34.82
1899585,31.21,34.82
1899586,31.17,34.82
1899587,31.13,34.82
1899588,31.09,34.82
1899589,31.05,34.82
1899590,31.01,34.82
1899591,30.97,34.82
1899592,30.93,34.82
1901472,33.01,34.86
1901473,32.97,34.86
1901474,32.93,34.86
1901475,32.89,34.86
1901476,32.85,34.86
1901477,32.81,34.86
1901478,32.77,34.86
1901479,32.73,34.86
1901480,32.69,34.86
1901481,32.65,34.86
1901482,32.61,34.86
1901483,32.57,34.86
1901484,32.53,34.86
1901485,32.49,34.86
1901486,32.45,34.86
1901487,32.41,34.86
1901488,32.37,34.86
1901489,32.33,34.86
1901490,32.29,34.86
1901491,32.25,34.86
1901492,32.21,34.86
1901493,32.17,34.86
1901494,32.13,34.86
1901495,32.09,34.86
1901496,32.05,34.86
1901497,32.01,34.86
1901498,31.97,34.86
1901499,31.93,34.86
1901500,31.89,34.86
1901501,31.85,34.86
1901502,31.81,34.86
1901503,31.77,34.86
1901504,31.73,34.86
1901505,31.69,34.86
1901506,31.65,34.86
1901507,31.61,34.86
1901508,31.57,34.86
1901509,31.53,34.86
1901510,31.49,34.86
1901511,31.45,34.86
1901512,31.41,34.86
1901513,31.37,34.86
1901514,31.33,34.86
1901515,31.29,34.86
1901516,31.25,34.86
1901517,31.21,34.86
1901518,31.17,34.86
1901519,31.13,34.86
1901520,31.09,34.86
1901521,31.05,34.86
1901522,31.01,34.86
1901523,30.97,34.86
1901524,30.93,34.86
1901525,30.89,34.86
1903404,33.05,34.9
1903405,33.01,34.9
1903406,32.97,34.9
1903407,32.93,34.9
1903408,32.89,34.9
1903409,32.85,34.9
1903410,32.81,34.9
1903411,32.77,34.9
1903412,32.73,34.9
1903413,32.69,34.9
1903414,32.65,34.9
1903415,32.61,34.9
1903416,32.57,34.9
1903417,32.53,34.9
1903418,32.49,34.9
1903419,32.45,34.9
1903420,32.41,34.9
1903421,32.37,34.9
1903422,32.33,34.9
1903423,32.29,34.9
1903424,32.25,34.9
1903425,32.21,34.9
1903426,32.17,34.9
1903427,32.13,34.9
1903428,32.09,34.9
1903429,32.05,34.9
1903430,32.01,34.9
1903431,31.97,34.9
1903432,31.93,34.9
1903433,31.89,34.9
1903434,31.85,34.9
1903435,31.81,34.9
1903436,31.77,34.9
1903437,31.73,34.9
1903438,31.69,34.9
1903439,31.65,34.9
1903440,31.61,34.9
1903441,31.57,34.9
1903442,31.53,34.9
1903443,31.49,34.9
1903444,31.45,34.9
1903445,31.41,34.9
1903446,31.37,34.9
1903447,31.33,34.9
1903448,31.29,34.9
1903449,31.25,34.9
1903450,31.21,34.9
1903451,31.17,34.9
1903452,31.13,34.9
1903453,31.09,34.9
1903454,31.05,34.9
1903455,31.01,34.9
1903456,30.97,34.9
1903457,30.93,34.9
1903458,30.89,34.9
1905338,33.05,34.94
1905339,33.01,34.94
1905340,32.97,34.94
1905341,32.93,34.94
1905342,32.89,34.94
1905343,32.85,34.94
1905344,32.81,34.94
1905345,32.77,34.94
1905346,32.73,34.94
1905347,32.69,34.94
1905348,32.65,34.94
1905349,32.61,34.94
1905350,32.57,34.94
1905351,32.53,34.94
1905352,32.49,34.94
1905353,32.45,34.94
1905354,32.41,34.94
1905355,32.37,34.94
1905356,32.33,34.94
1905357,32.29,34.94
1905358,32.25,34.94
1905359,32.21,34.94
1905360,32.17,34.94
1905361,32.13,34.94
1905362,32.09,34.94
1905363,32.05,34.94
1905364,32.01,34.94
1905365,31.97,34.94
1905366,31.93,34.94
1905367,31.89,34.94
1905368,31.85,34.94
1905369,31.81,34.94
1905370,31.77,34.94
1905371,31.73,34.94
1905372,31.69,34.94
1905373,31.65,34.94
1905374,31.61,34.94
1905375,31.57,34.94
1905376,31.53,34.94
1905377,31.49,34.94
1905378,31.45,34.94
1905379,31.41,34.94
1905380,31.37,34.94
1905381,31.33,34.94
1905382,31.29,34.94
1905383,31.25,34.94
1905384,31.21,34.94
1905385,31.17,34.94
1905386,31.13,34.94
1905387,31.09,34.94
1905388,31.05,34.94
1905389,31.01,34.94
1905390,30.97,34.94
1905391,30.93,34.94
1905392,30.89,34.94
1907272,33.05,34.98
1907273,33.01,34.98
1907274,32.97,34.98
1907275,32.93,34.98
1907276,32.89,34.98
1907277,32.85,34.98
1907278,32.81,34.98
1907279,32.77,34.98
1907280,32.73,34.98
1907281,32.69,34.98
1907282,32.65,34.98
1907283,32.61,34.98
1907284,32.57,34.98
1907285,32.53,34.98
1907286,32.49,34.98
1907287,32.45,34.98
1907288,32.41,34.98
1907289,32.37,34.98
1907290,32.33,34.98
1907291,32.29,34.98
1907292,32.25,34.98
1907293,32.21,34.98
1907294,32.17,34.98
1907295,32.13,34.98
1907296,32.09,34.98
1907297,32.05,34.98
1907298,32.01,34.98
1907299,31.97,34.98
1907300,31.93,34.98
1907301,31.89,34.98
1907302,31.85,34.98
1907303,31.81,34.98
1907304,31.77,34.98
1907305,31.73,34.98
1907306,31.69,34.98
1907307,31.65,34.98
1907308,31.61,34.98
1907309,31.57,34.98
1907310,31.53,34.98
1907311,31.49,34.98
1907312,31.45,34.98
1907313,31.41,34.98
1907314,31.37,34.98
1907315,31.33,34.98
1907316,31.29,34.98
1907317,31.25,34.98
1907318,31.21,34.98
1907319,31.17,34.98
1907320,31.13,34.98
1907321,31.09,34.98
1907322,31.05,34.98
1907323,31.01,34.98
1907324,30.97,34.98
1907325,30.93,34.98
1907326,30.89,34.98
1909204,33.05,35.02
1909205,33.01,35.02
1909206,32.97,35.02
1909207,32.93,35.02
1909208,32.89,35.02
1909209,32.85,35.02
1909210,32.81,35.02
1909211,32.77,35.02
1909212,32.73,35.02
1909213,32.69,35.02
1909214,32.65,35.02
1909215,32.61,35.02
1909216,32.57,35.02
1909217,32.53,35.02
1909218,32.49,35.02
1909219,32.45,35.02
1909220,32.41,35.02
1909221,32.37,35.02
1909222,32.33,35.02
1909223,32.29,35.02
1909224,32.25,35.02
1909225,32.21,35.02
1909226,32.17,35.02
1909227,32.13,35.02
1909228,32.09,35.02
1909229,32.05,35.02
1909230,32.01,35.02
1909231,31.97,35.02
1909232,31.93,35.02
1909233,31.89,35.02
1909234,31.85,35.02
1909235,31.81,35.02
1909236,31.77,35.02
1909237,31.73,35.02
1909238,31.69,35.02
1909239,31.65,35.02
1909240,31.61,35.02
1909241,31.57,35.02
1909242,31.53,35.02
1909243,31.49,35.02
1909244,31.45,35.02
1909245,31.41,35.02
1909246,31.37,35.02
1909247,31.33,35.02
1909248,31.29,35.02
1909249,31.25,35.02
1909250,31.21,35.02
1909251,31.17,35.02
1909252,31.13,35.02
1909253,31.09,35.02
1909254,31.05,35.02
1909255,31.01,35.02
1909256,30.97,35.02
1909257,30.93,35.02
1909258,30.89,35.02
1911129,33.05,35.06
1911130,33.01,35.06
1911131,32.97,35.06
1911132,32.93,35.06
1911133,32.89,35.06
1911134,32.85,35.06
1911135,32.81,35.06
1911136,32.77,35.06
1911137,32.73,35.06
1911138,32.69,35.06
1911139,32.65,35.06
1911140,32.61,35.06
1911141,32.57,35.06
1911142,32.53,35.06
1911143,32.49,35.06
1911144,32.45,35.06
1911145,32.41,35.06
1911146,32.37,35.06
1911147,32.33,35.06
1911148,32.29,35.06
1911149,32.25,35.06
1911150,32.21,35.06
1911151,32.17,35.06
1911152,32.13,35.06
1911153,32.09,35.06
1911154,32.05,35.06
1911155,32.01,35.06
1911156,31.97,35.06
1911157,31.93,35.06
1911158,31.89,35.06
1911159,31.85,35.06
1911160,31.81,35.06
1911161,31.77,35.06
1911162,31.73,35.06
1911163,31.69,35.06
1911164,31.65,35.06
1911165,31.61,35.06
1911166,31.57,35.06
1911167,31.53,35.06
1911168,31.49,35.06
1911169,31.45,35.06
1911170,31.41,35.06
1911171,31.37,35.06
1911172,31.33,35.06
1911173,31.29,35.06
1911174,31.25,35.06
1911175,31.21,35.06
1911176,31.17,35.06
1911177,31.13,35.06
1911178,31.09,35.06
1911179,31.05,35.06
1911180,31.01,35.06
1911181,30.97,35.06
1911182,30.93,35.06
1911183,30.89,35.06
1911184,30.85,35.06
1913052,33.05,35.1
1913053,33.01,35.1
1913054,32.97,35.1
1913055,32.93,35.1
1913056,32.89,35.1
1913057,32.85,35.1
1913058,32.81,35.1
1913059,32.77,35.1
1913060,32.73,35.1
1913061,32.69,35.1
1913062,32.65,35.1
1913063,32.61,35.1
1913064,32.57,35.1
1913065,32.53,35.1
1913066,32.49,35.1
1913067,32.45,35.1
1913068,32.41,35.1
1913069,32.37,35.1
1913070,32.33,35.1
1913071,32.29,35.1
1913072,32.25,35.1
1913073,32.21,35.1
1913074,32.17,35.1
1913075,32.13,35.1
1913076,32.09,35.1
1913077,32.05,35.1
1913078,32.01,35.1
1913079,31.97,35.1
1913080,31.93,35.1
1913081,31.89,35.1
1913082,31.85,35.1
1913083,31.81,35.1
1913084,31.77,35.1
1913085,31.73,35.1
1913086,31.69,35.1
1913087,31.65,35.1
1913088,31.61,35.1
1913089,31.57,35.1
1913090,31.53,35.1
1913091,31.49,35.1
1913092,31.45,35.1
1913093,31.41,35.1
1913094,31.37,35.1
1913095,31.33,35.1
1913096,31.29,35.1
1913097,31.25,35.1
1913098,31.21,35.1
1913099,31.17,35.1
1913100,31.13,35.1
1913101,31.09,35.1
1913102,31.05,35.1
1913103,31.01,35.1
1913104,30.97,35.1
1913105,30.93,35.1
1913106,30.89,35.1
1913107,30.85,35.1
1914970,33.05,35.14
1914971,33.01,35.14
1914972,32.97,35.14
1914973,32.93,35.14
1914974,32.89,35.14
1914975,32.85,35.14
1914976,32.81,35.14
1914977,32.77,35.14
1914978,32.73,35.14
1914979,32.69,35.14
1914980,32.65,35.14
1914981,32.61,35.14
1914982,32.57,35.14
1914983,32.53,35.14
1914984,32.49,35.14
1914985,32.45,35.14
1914986,32.41,35.14
1914987,32.37,35.14
1914988,32.33,35.14
1914989,32.29,35.14
1914990,32.25,35.14
1914991,32.21,35.14
1914992,32.17,35.14
1914993,32.13,35.14
1914994,32.09,35.14
1914995,32.05,35.14
1914996,32.01,35.14
1914997,31.97,35.14
1914998,31.93,35.14
1914999,31.89,35.14
1915000,31.85,35.14
1915001,31.81,35.14
1915002,31.77,35.14
1915003,31.73,35.14
1915004,31.69,35.14
1915005,31.65,35.14
1915006,31.61,35.14
1915007,31.57,35.14
1915008,31.53,35.14
1915009,31.49,35.14
1915010,31.45,35.14
1915011,31.41,35.14
1915012,31.37,35.14
1915013,31.33,35.14
1915014,31.29,35.14
1915015,31.25,35.14
1915016,31.21,35.14
1915017,31.17,35.14
1915018,31.13,35.14
1915019,31.09,35.14
1915020,31.05,35.14
1915021,31.01,35.14
1915022,30.97,35.14
1915023,30.93,35.14
1915024,30.89,35.14
1915025,30.85,35.14
1916888,33.01,35.18
1916889,32.97,35.18
1916890,32.93,35.18
1916891,32.89,35.18
1916892,32.85,35.18
1916893,32.81,35.18
1916894,32.77,35.18
1916895,32.73,35.18
1916896,32.69,35.18
1916897,32.65,35.18
1916898,32.61,35.18
1916899,32.57,35.18
1916900,32.53,35.18
1916901,32.49,35.18
1916902,32.45,35.18
1916903,32.41,35.18
1916904,32.37,35.18
1916905,32.33,35.18
1916906,32.29,35.18
1916907,32.25,35.18
1916908,32.21,35.18
1916909,32.17,35.18
1916910,32.13,35.18
1916911,32.09,35.18
1916912,32.05,35.18
1916913,32.01,35.18
1916914,31.97,35.18
1916915,31.93,35.18
1916916,31.89,35.18
1916917,31.85,35.18
1916918,31.81,35.18
1916919,31.77,35.18
1916920,31.73,35.18
1916921,31.69,35.18
1916922,31.65,35.18
1916923,31.61,35.18
1916924,31.57,35.18
1916925,31.53,35.18
1916926,31.49,35.18
1916927,31.45,35.18
1916928,31.41,35.18
1916929,31.37,35.18
1916930,31.33,35.18
1916931,31.29,35.18
1916932,31.25,35.18
1916933,31.21,35.18
1916934,31.17,35.18
1916935,31.13,35.18
1916936,31.09,35.18
1916937,31.05,35.18
1916938,31.01,35.18
1916939,30.97,35.18
1916940,30.93,35.18
1916941,30.89,35.18
1916942,30.85,35.18
1918803,33.01,35.22
1918804,32.97,35.22
1918805,32.93,35.22
1918806,32.89,35.22
1918807,32.85,35.22
1918808,32.81,35.22
1918809,32.77,35.22
1918810,32.73,35.22
1918811,32.69,35.22
1918812,32.65,35.22
1918813,32.61,35.22
1918814,32.57,35.22
1918815,32.53,35.22
1918816,32.49,35.22
1918817,32.45,35.22
1918818,32.41,35.22
1918819,32.37,35.22
1918820,32.33,35.22
1918821,32.29,35.22
1918822,32.25,35.22
1918823,32.21,35.22
1918824,32.17,35.22
1918825,32.13,35.22
1918826,32.09,35.22
1918827,32.05,35.22
1918828,32.01,35.22
1918829,31.97,35.22
1918830,31.93,35.22
1918831,31.89,35.22
1918832,31.85,35.22
1918833,31.81,35.22
1918834,31.77,35.22
1918835,31.73,35.22
1918836,31.69,35.22
1918837,31.65,35.22
1918838,31.61,35.22
1918839,31.57,35.22
1918840,31.53,35.22
1918841,31.49,35.22
1918842,31.45,35.22
1918843,31.41,35.22
1918844,31.37,35.22
1918845,31.33,35.22
1918846,31.29,35.22
1918847,31.25,35.22
1918848,31.21,35.22
1918849,31.17,35.22
1918850,31.13,35.22
1918851,31.09,35.22
1918852,31.05,35.22
1918853,31.01,35.22
1918854,30.97,35.22
1918855,30.93,35.22
1918856,30.89,35.22
1918857,30.85,35.22
1918858,30.81,35.22
1920713,33.01,35.26
1920714,32.97,35.26
1920715,32.93,35.26
1920716,32.89,35.26
1920717,32.85,35.26
1920718,32.81,35.26
1920719,32.77,35.26
1920720,32.73,35.26
1920721,32.69,35.26
1920722,32.65,35.26
1920723,32.61,35.26
1920724,32.57,35.26
1920725,32.53,35.26
1920726,32.49,35.26
1920727,32.45,35.26
1920728,32.41,35.26
1920729,32.37,35.26
1920730,32.33,35.26
1920731,32.29,35.26
1920732,32.25,35.26
1920733,32.21,35.26
1920734,32.17,35.26
1920735,32.13,35.26
1920736,32.09,35.26
1920737,32.05,35.26
1920738,32.01,35.26
1920739,31.97,35.26
1920740,31.93,35.26
1920741,31.89,35.26
1920742,31.85,35.26
1920743,31.81,35.26
1920744,31.77,35.26
1920745,31.73,35.26
1920746,31.69,35.26
1920747,31.65,35.26
1920748,31.61,35.26
1920749,31.57,35.26
1920750,31.53,35.26
1920751,31.49,35.26
1920752,31.45,35.26
1920753,31.41,35.26
1920754,31.37,35.26
1920755,31.33,35.26
1920756,31.29,35.26
1920757,31.25,35.26
1920758,31.21,35.26
1920759,31.17,35.26
1920760,31.13,35.26
1920761,31.09,35.26
1920762,31.05,35.26
1920763,31.01,35.26
1920764,30.97,35.26
1920765,30.93,35.26
1920766,30.89,35.26
1920767,30.85,35.26
1920768,30.81,35.26
1922618,33.01,35.3
1922619,32.97,35.3
1922620,32.93,35.3
1922621,32.89,35.3
1922622,32.85,35.3
1922623,32.81,35.3
1922624,32.77,35.3
1922625,32.73,35.3
1922626,32.69,35.3
1922627,32.65,35.3
1922628,32.61,35.3
1922629,32.57,35.3
1922630,32.53,35.3
1922631,32.49,35.3
1922632,32.45,35.3
1922633,32.41,35.3
1922634,32.37,35.3
1922635,32.33,35.3
1922636,32.29,35.3
1922637,32.25,35.3
1922638,32.21,35.3
1922639,32.17,35.3
1922640,32.13,35.3
1922641,32.09,35.3
1922642,32.05,35.3
1922643,32.01,35.3
1922644,31.97,35.3
1922645,31.93,35.3
1922646,31.89,35.3
1922647,31.85,35.3
1922648,31.81,35.3
1922649,31.77,35.3
1922650,31.73,35.3
1922651,31.69,35.3
1922652,31.65,35.3
1922653,31.61,35.3
1922654,31.57,35.3
1922655,31.53,35.3
1922656,31.49,35.3
1922657,31.45,35.3
1922658,31.41,35.3
1922659,31.37,35.3
1922660,31.33,35.3
1922661,31.29,35.3
1922662,31.25,35.3
1922663,31.21,35.3
1922664,31.17,35.3
1922665,31.13,35.3
1922666,31.09,35.3
1922667,31.05,35.3
1922668,31.01,35.3
1922669,30.97,35.3
1922670,30.93,35.3
1924517,33.01,35.34
1924518,32.97,35.34
1924519,32.93,35.34
1924520,32.89,35.34
1924521,32.85,35.34
1924522,32.81,35.34
1924523,32.77,35.34
1924524,32.73,35.34
1924525,32.69,35.34
1924526,32.65,35.34
1924527,32.61,35.34
1924528,32.57,35.34
